,HOSTNAME1
418739,1011now.com
418379,10news.com
412210,10tv.com
211769,1150wima.com
415635,1190kex.com
421277,11alive.com
418214,123jump.com
379439,123macmini.com
416805,12newsnow.com
392081,1340wgau.com
422278,13abc.com
420116,13wham.com
416132,13wmaz.com
322940,148apps.com
421145,14news.com
31624,1500espn.com
140812,1600kush.com
416909,19actionnews.com
416159,1to1media.com
368710,1weddingsource.com
288942,225batonrouge.com
309562,24-7kpop.com
65754,247sports.com
417644,247wallst.com
195145,24dash.com
332935,24hourhiphop.com
385302,24hrs.ca
334540,24wrestling.com
325305,27east.com
421989,2dayfm.com.au
421721,2minutemedicine.com
420587,2paragraphs.com
346349,303magazine.com
416184,360nobs.com
384654,3blmedia.com
315777,3d-car-shows.com
406633,3dprint.com
383760,3g.co.uk
422274,3news.co.nz
417625,4029tv.com
421662,411mania.com
384633,41nbc.com
342890,4bc.com.au
282217,4flush.com
311118,4hoteliers.com
399130,4ni.co.uk
175811,560wgan.com
414329,570news.com
401238,570wkbn.com
415913,5newsonline.com
408758,610kvnu.com
370141,620wtmj.com
247817,630ched.com
173733,630wpro.com
414926,640toronto.com
390732,650keni.com
420829,660news.com
421215,680news.com
419188,6abc.com
55336,6lawrence.com
28161,6minutes.com.au
412719,700wlw.com
118648,710keel.com
395570,760kfmb.com
384268,7daysindubai.com
333311,7newsbelize.com
410783,7online.com
392438,7thspace.com
309879,7x7.com
65128,850koa.com
413632,8newsnow.com
125697,900chml.com
397235,920whjj.com
373853,943wsc.com
162779,959watd.com
418052,964eagle.co.uk
409559,9and10news.com
421785,9news.com
421638,9news.com.au
418788,9to5google.com
419483,9to5mac.com
382517,a2indy.com
233341,aafp.org
351708,aappublications.org
421911,aarp.org
399699,aawsat.net
30184,ababj.com
395524,abajournal.com
414320,abc-7.com
297156,abc.az
421861,abc.net.au
351475,abc10up.com
413986,abc11.com
421267,abc13.com
415127,abc15.com
404984,abc17news.com
386993,abc22now.com
37107,abc23.com
397211,abc27.com
401865,abc2news.com
420341,abc30.com
397537,abc3340.com
397858,abc57.com
421818,abc6.com
412760,abc6onyourside.com
420643,abc7.com
421839,abc7chicago.com
421686,abc7news.com
404671,abcactionnews.com
318273,abccolumbia.com
347580,abcfoxmontana.com
19428,abcnews.go.com
394823,abcnews4.com
333715,abcnewspapers.com
293090,aberdeencity.gov.uk
393876,aberdeennews.com
225178,abladvisor.com
410546,about.com
372874,aboutmyarea.co.uk
401381,abpclub.co.uk
422050,abplive.in
244916,abpnews.com
416414,abqjournal.com
304371,abs-cbnnews.com
316589,abudhabicityguide.com
406000,acainternational.org
83156,access-legal.co.uk
416455,accessatlanta.com
420451,accesshollywood.com
419019,accessnorthga.com
273640,accessnow.org
383232,accountancyage.com
400253,accountingtoday.com
417026,accountingweb.com
340992,accuracast.com
404638,accuweather.com
421639,aceshowbiz.com
292188,aceweekly.com
241474,ack.net
142056,aclj.org
315676,aclu.org
383963,acmepackingcompany.com
320022,acnnewswire.com
388914,acousticguitar.com
309179,acs.org
291553,actionfigurefury.com
67411,actionfigureinsider.com
412480,actionforex.com
415292,actionnewsjax.com
265605,actionnewsnow.com
419082,actiontrip.com
400066,activequote.com
95517,actmedia.eu
322306,acton.org
96466,actuarialpost.co.uk
412957,adage.com
233589,addison-eagle.com
182870,adelaidenow.com.au
188623,adexchanger.com
151812,adirondackdailyenterprise.com
330208,adland.tv
412811,adn.com
372095,adnews.com.au
356907,adotas.com
144784,adrants.com
376622,adsadvance.co.uk
388048,adtmag.com
381687,advanced-television.com
133544,advancetitan.com
407523,advertiser.ie
400976,advicetrade.com
411807,advisor.ca
23365,advocate-news.com
198901,advocate-online.net
41185,advocateanddemocrat.com
1530,advocatepress.com
419671,adweek.com
371970,aegindia.org
360193,afaqs.com
272872,afcea.org
422119,afkinsider.com
410482,aflcio.org
397556,afloat.ie
418118,afm.aero
421161,afr.com
252044,africaintelligence.com
90562,african-bulletin.com
366203,africanbrains.net
399717,africanmanager.com
416661,africasciencenews.org
244953,afrika.no
383624,afriqueitnews.com
239436,afro.com
46410,afro.who.int
50326,afrol.com
238607,afspc.af.mil
419374,afterdawn.com
24031,agassizharrisonobserver.com
335659,agbeat.com
115579,ageofautism.com
333891,aginfo.net
408458,agjournalonline.com
370674,agmetalminer.com
26406,agoracosmopolitan.com
386449,agprofessional.com
162279,agra-net.com
404439,agri-pulse.com
371091,agriculture.com
121027,agriland.ie
371090,agrimoney.com
294055,agrinews-pubs.com
294048,agriview.com
381872,agroperspectiva.com
371081,agweb.com
367038,agweek.com
76485,agwired.com
416149,ahealthiermichigan.org
403452,ahherald.com
421635,ahlanlive.com
292123,ahmedabadmirror.com
417721,ahram.org.eg
411220,ahwatukee.com
247491,ai-cio.com
352448,aids.gov
107447,aidsmap.com
325756,aidsmeds.com
414607,aikenstandard.com
247992,aim.org
263110,aina.org
400330,ainonline.com
298026,aip.org
374153,aircargonews.net
376296,aircargoworld.com
68747,airdriecityview.com
325254,airdrieecho.com
352928,airfinancejournal.com
315065,airforce-technology.com
314096,airforcetimes.com
418849,airherald.com
400344,airlinesanddestinations.com
192300,airportsinternational.com
193586,airqualitynews.com
413285,airtrafficmanagement.net
418061,airwise.com
99914,aishealth.com
420304,ajc.com
409156,ajmc.com
47338,ajr.org
356,akgulian.com
317798,akihabaranews.com
244130,akron.com
247364,al-akhbar.com
411665,al-monitor.com
421224,al.com
420104,alabamas13.com
324436,alamogordonews.com
355838,alamosanews.com
412812,alaska-native-news.com
366929,alaskadispatch.com
199717,alaskajournal.com
412808,alaskapublic.org
409254,albanyherald.com
418510,albanytribune.com
414232,albawaba.com
113589,albernivalleynews.com
86909,album-review.co.uk
252536,alderleyedge.com
349831,aledotimesrecord.com
346823,alestlelive.com
371396,aleteia.org
369297,algemeiner.com
385789,alibi.com
224328,alicetx.com
422371,aljazeera.com
211833,aljazeerah.info
376959,allaboutalpha.com
174022,allaboutsymbian.com
416239,allaccess.com
422353,allafrica.com
135520,allergicliving.com
412840,allfacebook.com
405158,allgov.com
416604,allhiphop.com
415500,allieiswired.com
415843,alligator.org
421613,allmediany.com
147231,allmediascotland.com
321177,alloveralbany.com
66242,allpointbulletin.com
414974,allure.com
411117,allvoices.com
390791,almanacnews.com
249793,alpari.co.uk
31116,alphakick.com
197671,alphawired.com
412666,altenergymag.com
421387,alterthepress.com
328538,altfg.com
198885,altmedia.net.au
253541,altoonamirror.com
215567,altsounds.com
138600,altustimes.com
145979,alvaradostar.net
252888,alwaysnintendo.com
390165,alzheimers.org.uk
401361,am-online.com
421800,am730.ca
411808,am980.ca
347396,ama-assn.org
402520,amarillo.com
301529,amateurphotographer.co.uk
15386,amc.af.mil
250784,amctv.com
74032,americajr.com
322758,american.com
405681,americanbanker.com
387510,americanbazaaronline.com
343680,americaneconomicalert.org
235814,americanidolnet.com
393842,americanlawyer.com
421088,americanlivewire.com
416877,americannewsreport.com
410399,americanprogress.org
381352,americansongwriter.com
419754,americanthinker.com
418181,amestrib.com
186530,amherst.edu
142259,amherstbulletin.com
412781,amm.com
284029,ammoland.com
372964,ammonnews.net
159339,amnesty.org
421227,amny.com
129658,ampoleagle.com
408511,amsterdamnews.com
413816,anandtech.com
316558,anba.com.br
137829,andina.com.pe
391087,andoveradvertiser.co.uk
421319,andpop.com
418685,android.gs
418748,androidandme.com
407020,androidauthority.com
413084,androidcentral.com
418847,androidcommunity.com
418841,androidheadlines.com
419625,androidorigin.com
413164,androidos.in
418829,androidpit.com
414077,androidpolice.com
337811,anewscafe.com
422184,anglechronicle.com
123506,anglicannews.org
373477,anglocelt.ie
373164,anglotopia.net
142568,anhuinews.com
268826,animenewsnetwork.com
421860,aninews.in
54731,annamiticus.com
420149,annapoliscountyspectator.ca
418901,annistonstar.com
173439,anphoblacht.com
28895,anr.msu.edu
348070,ansamed.info
406134,ansonrecord.com
343352,antaranews.com
412137,antiguaobserver.com
421603,antimusic.com
140246,antiochherald.com
234478,antiwar.com
351544,antonnews.com
398945,aol.co.uk
418501,aol.com
339059,aopa.org
422384,apa.az
409189,apalachtimes.com
48582,apcmag.com
229413,aplaceformom.com
368950,aplaceinthesun.com
204149,app.com
419566,appadvice.com
374030,apparelnews.net
384879,appdevelopermagazine.com
412181,appeal-democrat.com
399461,applebitch.com
419618,appleinsider.com
181322,appliancemagazine.com
160702,appmarket.tv
419576,apppicker.com
388044,appstechnews.com
419260,apptrigger.com
416686,apr.org
416434,apunkachoice.com
421858,aquila-style.com
316587,arabianaerospace.aero
421191,arabianbusiness.com
421005,arabtimesonline.com
129747,aransaspassprogress.com
87115,arbiteronline.com
140480,arbroathherald.co.uk
413994,arcadesushi.com
214786,archdaily.com
257176,archinect.com
400273,architectmagazine.com
45516,architecturaldigest.com
129640,archons.org
48590,arcticstartup.com
340249,arcweb.com
351625,ardmoreite.com
418424,areadevelopment.com
413233,argophilia.com
407723,argus-press.com
16871,argusleader.com
405008,argusmedia.com
137374,argusobserver.com
419528,argyllfreepress.com
409097,arirang.co.kr
103676,arizonasports.com
121046,arka.am
352779,arkansasbusiness.com
121137,arkansasmatters.com
162521,arkansasnews.com
410808,arkansasonline.com
420120,arklatexhomepage.com
385787,arktimes.com
34261,arlingtontimes.com
371231,arlnow.com
373014,armenpress.am
361220,armradio.am
122108,army.mil
412810,armytimes.com
406520,arnnet.com.au
403107,aroundosceola.com
396377,arrowheadpride.com
419319,arstechnica.com
314665,artemis.bm
281905,artesianews.com
320275,artfixdaily.com
415959,article-3.com
141724,artiholics.com
303958,artinfo.com
421564,artistdirect.com
99231,artlink.co.za
274674,artlyst.com
214771,artnet.com
134365,artrocker.tv
372823,artshub.com.au
202634,artslant.com
33308,arynews.tv
48232,as-coa.org
186905,as.ucsb.edu
320884,asahi.com
130049,asbarez.com
403281,ashbournenewstelegraph.co.uk
136492,ashdowngroup.com
409971,asia-first.com
413165,asiadroid.com
47024,asiamediajournal.com
420762,asianage.com
418518,asianews.it
131271,asianfortunenews.com
317843,asianimage.co.uk
125094,asianinvestor.net
266684,asianjournal.com
315671,asianpacificpost.com
353495,asianscientist.com
102667,asiantribune.com
422383,asiaone.com
295869,asiaradiotoday.com
400339,asiatraveltips.com
353406,asicentral.com
419332,askmen.com
282098,aspendailynews.com
393649,aspenpublicradio.org
330927,aspentimes.com
316574,aspireaviation.com
137355,assamtribune.com
282109,assemblymag.com
414371,assignmentx.com
64973,associatednews.com
416527,astroawani.com
152891,astrobio.net
362643,astrobiology.com
2703,astrochicks.com
401279,astronomy.com
413557,astronomynow.com
406664,asu.edu
79844,asugnews.com
136523,asuherald.com
411109,asuitthatfits.com
275115,asweetlife.org
357277,atchisonglobenow.com
49925,atg.wa.gov
40905,athensnews.com
123508,athensohiotoday.com
262927,athensreview.com
393256,athletenewswire.com
262461,athleticbusiness.com
101519,athlonsports.com
393024,atimes.com
422172,atlantablackstar.com
421516,atlantadailyworld.com
144843,atlantaintownpaper.com
33165,atlantamagazine.com
403423,atlanticcityweekly.com
117364,atmmarketplace.com
67764,atpworldtour.com
419075,attackofthefanboy.com
158798,atvn.org
345792,atvtoday.co.uk
412559,atwonline.com
93971,au.org
415764,auburnpub.com
322739,audaud.com
313221,audioinkradio.com
61484,audubonmagazine.org
405691,augusta.com
422169,augustafreepress.com
407497,auroraadvertiser.net
123412,auroraadvocate.com
422381,aurorasentinel.com
400343,ausbt.com.au
391607,ausgamers.com
407852,austin360.com
388916,austinchronicle.com
134339,austinmonthly.com
406086,australiangeographic.com.au
372002,australiantimes.co.uk
80670,austrianindependent.com
283154,austriantimes.at
419632,austriantribune.com
317477,authorlink.com
314024,autismdailynewscast.com
68047,autismsupportnetwork.com
362796,auto-types.com
410221,auto123.com
418362,autoblog.com
399138,autocar.co.uk
188562,autocarindia.com
16493,autocreditexpress.com
421616,autoevolution.com
384121,autoexpress.co.uk
384184,autogo.ca
323209,autoloandaily.com
338692,automatedtrader.net
356346,automedia.com
339266,automiddleeast.com
418430,automobilemag.com
384096,automotive-business-review.com
341054,automotive.com
384019,automotiveaddicts.com
288501,automotiveit.com
409622,automotiveworld.com
384185,autonet.ca
410230,autonews.com
394630,autoomobile.com
401870,autoremarketing.com
315662,autos.ca
410167,autos.msn.com
283799,autos.yahoo.com
401297,autosphere.ca
409577,autospies.com
313954,autosport.com
277138,autotalk.com
391354,autoweek.com
421583,autoworldnews.com
417592,avafin.com
95907,avauncer.com
421433,avclub.com
308166,avenuemail.in
364147,avherald.com
301645,aviation.ca
416900,aviationpros.com
412534,aviationtoday.com
422229,aviationtribune.com
400312,aviationweek.com
13545,avionics-intelligence.com
91173,avoyellestoday.com
416894,avstop.com
418605,avtimes.net
237277,avweb.com
420826,awardsdaily.com
406735,awfulannouncing.com
336048,awn.com
416773,awoko.org
407742,aww.com.au
391864,axisoflogic.com
399634,aysor.am
421579,azcentral.com
405630,azdailysun.com
411596,azernews.az
405853,azfamily.com
287691,azjewishpost.com
362675,azocleantech.com
298336,azom.com
197401,azonano.com
241322,azooptics.com
406706,azorobotics.com
305596,azosensors.com
406254,azpm.org
372562,azstarnet.com
319340,b-sides.tv
65844,b-townblog.com
310599,b92.net
175451,babble.com
415624,babycenter.com
142266,babylonbeacon.com
268848,backpacker.com
369452,backstage.com
156354,backup-technology.com
297073,baconsrebellion.com
170274,badgerherald.com
396921,baeblemusic.com
376243,bahamaislandsinfo.com
111451,bainbridgereview.com
386254,bakersfieldcalifornian.com
405489,bakersfieldnow.com
141042,bakeryandsnacks.com
293889,bakeryinfo.co.uk
